SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
,,Tier2,Tier2: 2009,Tier2: 2014,,,,,,
DE-Geb,Gebesee,"Tier1,",Tier1: 2001,Tier1: 2014,51.1001,10.9143,161.5,CRO,8.5,470
,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
DE-Gri,Grillenburg,"Tier1,",Tier1: 2004,Tier1: 2014,50.95,13.5126,385,GRA,7.8,901
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
DE-Hai,Hainich,"Tier1,",Tier1: 2000,Tier1: 2012,51.0792,10.453,430,DBF,8.3,720
,,Tier2,Tier2: 2000,Tier2: 2012,,,,,,
DE-Kli,Klingenberg,"Tier1,",Tier1: 2004,Tier1: 2014,50.8931,13.5224,478,CRO,7.6,842
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
DE-Lkb,Lackenberg,"Tier1,",Tier1: 2009,Tier1: 2013,49.0996,13.3047,1308,ENF,4,1599
,,Tier2,Tier2: 2009,Tier2: 2013,,,,,,
DE-Lnf,Leinefelde,Tier2,Tier2: 2002,Tier2: 2012,51.3282,10.3678,451,DBF,,
DE-Obe,Oberbärenburg,"Tier1,",Tier1: 2008,Tier1: 2014,50.7867,13.7213,734,ENF,5.5,996
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
DE-RuR,Rollesbroich,"Tier1,",Tier1: 2011,Tier1: 2014,50.6219,6.3041,514.7,GRA,7.7,1033
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
DE-RuS,Selhausen Juelich,"Tier1,",Tier1: 2011,Tier1: 2014,50.8659,6.4472,102.76,CRO,10,700
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
DE-Seh,Selhausen,"Tier1,",Tier1: 2007,Tier1: 2010,50.8706,6.4497,103,CRO,9.9,693
,,Tier2,Tier2: 2007,Tier2: 2010,,,,,,
DE-SfN,Schechenfilz Nord,"Tier1,",Tier1: 2012,Tier1: 2014,47.8064,11.3275,590,WET,8.6,1127
,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
DE-Spw,Spreewald,"Tier1,",Tier1: 2010,Tier1: 2014,51.8923,14.0337,61,WET,8.7,558
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
DE-Tha,Tharandt,"Tier1,",Tier1: 1996,Tier1: 2014,50.9624,13.5652,385,ENF,8.2,843
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
DE-Zrk,Zarnekow,Tier2,Tier2: 2013,Tier2: 2014,53.8759,12.889,0,WET,8.7,584
DK-Eng,Enghave,Tier2,Tier2: 2005,Tier2: 2008,55.6905,12.1918,10,GRA,8,613
DK-Fou,Foulum,"Tier1,",Tier1: 2005,Tier1: 2005,56.4842,9.5872,51,CRO,8,
,,Tier2,Tier2: 2005,Tier2: 2005,,,,,,
DK-NuF,Nuuk Fen,"Tier1,",Tier1: 2008,Tier1: 2014,64.1308,-51.3861,50,WET,-1.4,750
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
DK-Sor,Soroe,"Tier1,",Tier1: 1996,Tier1: 2014,55.4859,11.6446,40,DBF,8.2,660
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
DK-ZaF,Zackenberg Fen,"Tier1,",Tier1: 2008,Tier1: 2011,74.4814,-20.5545,38,WET,-9,211
,,Tier2,Tier2: 2008,Tier2: 2011,,,,,,
DK-ZaH,Zackenberg Heath,"Tier1,",Tier1: 2000,Tier1: 2014,74.4733,-20.5503,38,GRA,-9,211
,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
